;airport;departure;destination;total
0.0;NULL;13772.0;7718.0;21490.0
1.0;KTEB;2499.0;1546.0;4045.0
2.0;KORD;2290.0;1085.0;3375.0
3.0;KIAD;2179.0;1335.0;3514.0
4.0;KDFW;2042.0;1046.0;3088.0
5.0;KDAL;2032.0;1395.0;3427.0
6.0;KMDW;1974.0;1198.0;3172.0
7.0;KHPN;1889.0;1272.0;3161.0
8.0;KPHL;1829.0;1089.0;2918.0
9.0;KLAS;1755.0;1043.0;2798.0
10.0;KPWK;1737.0;1237.0;2974.0
11.0;KCLT;1702.0;879.0;2581.0
12.0;KHOU;1696.0;1071.0;2767.0
13.0;KAPA;1684.0;1235.0;2919.0
14.0;KIND;1666.0;1087.0;2753.0
15.0;KATL;1651.0;765.0;2416.0
16.0;KMSP;1641.0;902.0;2543.0
17.0;KRDU;1627.0;1107.0;2734.0
18.0;KADS;1619.0;1282.0;2901.0
19.0;KPDK;1578.0;1097.0;2675.0
20.0;KBWI;1573.0;937.0;2510.0
21.0;KSUS;1571.0;1140.0;2711.0
22.0;KAUS;1542.0;705.0;2247.0
23.0;KDEN;1421.0;563.0;1984.0
24.0;KFTW;1407.0;1022.0;2429.0
25.0;KEWR;1395.0;801.0;2196.0
26.0;KMKC;1395.0;1055.0;2450.0
27.0;KBOS;1395.0;848.0;2243.0
28.0;KLUK;1354.0;926.0;2280.0
29.0;KLAX;1352.0;678.0;2030.0
30.0;KIAH;1331.0;620.0;1951.0
31.0;KSAT;1327.0;924.0;2251.0
32.0;KBED;1320.0;897.0;2217.0
33.0;KJFK;1314.0;754.0;2068.0
34.0;KSDF;1306.0;703.0;2009.0
35.0;KPHX;1297.0;746.0;2043.0
36.0;KBNA;1282.0;869.0;2151.0
37.0;KTPA;1273.0;763.0;2036.0
38.0;KMMU;1269.0;820.0;2089.0
39.0;KCMH;1267.0;879.0;2146.0
40.0;KSDL;1260.0;881.0;2141.0
41.0;KMSN;1243.0;938.0;2181.0
42.0;KSTL;1229.0;754.0;1983.0
43.0;KMCO;1195.0;574.0;1769.0
44.0;KFLL;1191.0;738.0;1929.0
45.0;KORL;1171.0;715.0;1886.0
46.0;KSFO;1169.0;720.0;1889.0
47.0;KOSH;1165.0;917.0;2082.0
48.0;KHEF;1159.0;790.0;1949.0
